PageViews,SessionDuration,BounceRate,TrafficSource,TimeOnPage,PreviousVisits,ConversionRate
5,11.05,0.23,Organic,3.89,3,1
4,3.43,0.39,Social,8.48,0,1
4,1.62,0.4,Organic,9.64,2,1
5,3.63,0.18,Organic,2.07,3,1
5,4.24,0.29,Paid,1.96,5,1
3,4.54,0.42,Social,3.44,2,1
5,1.95,0.03,Social,2.12,1,1
4,1.69,0.25,Paid,3.48,5,1
6,0.03,0.12,Organic,5.29,1,1
7,7.83,0.21,Paid,4.06,5,1
2,2.77,0.49,Direct,2.97,3,1
5,0.68,0.45,Referral,1.5,0,1
5,7.56,0.26,Social,9.69,0,1
6,7.39,0.26,Paid,4.98,2,1
4,13.58,0.32,Paid,5.8,3,1
6,6.22,0.3,Paid,10.03,2,1
6,18.34,0.34,Referral,2.98,0,1
1,0.84,0.25,Social,8.3,1,1
7,5.54,0.26,Paid,8.79,3,1
2,5.2,0.17,Paid,2.89,2,1
11,0.79,0.25,Organic,11.69,5,1
4,0.31,0.64,Organic,4.16,4,1
3,11.65,0.29,Direct,6.03,1,1
8,1.05,0.18,Organic,3.73,2,1
3,6.14,0.09,Social,5.08,2,1
3,0.01,0.12,Referral,1.34,3,1
5,0.06,0.06,Social,7.05,1,1
8,1.88,0.01,Direct,2.11,2,1
3,0.82,0.16,Referral,15.02,3,1
2,3.51,0.14,Social,1.55,0,1
5,2.5,0.12,Organic,3.3,2,1
3,0.24,0.44,Referral,2.64,2,0.9
8,0.53,0.25,Social,0.97,2,1
10,1.47,0.21,Organic,9,1,1
3,0.62,0.08,Referral,1.95,1,1
2,4.71,0.68,Social,3.87,4,1
5,1.61,0.37,Social,1.69,1,0.9
7,0.29,0.15,Organic,7.17,2,1
6,1.99,0.23,Referral,2.99,0,1
6,0.29,0.48,Organic,4.22,1,1
2,0.41,0.27,Referral,3.28,1,1
4,0.82,0.13,Paid,4.61,1,1
9,5.89,0.29,Paid,8.65,0,1
7,7.76,0.46,Paid,3.3,1,1
11,5.25,0.29,Organic,5.28,2,1
8,1.22,0.61,Organic,3.06,0,1
3,0.95,0.4,Organic,1.43,1,1
2,2.39,0.19,Referral,4.24,2,1
3,3.84,0.19,Social,1.59,2,1
4,15.05,0.03,Organic,2.87,1,1
5,0.42,0.84,Organic,0.73,4,0.7
5,0.15,0.19,Paid,3.97,2,1
4,3.56,0.16,Referral,3.15,4,1
3,5.36,0.39,Organic,3.83,1,1
8,5.62,0.36,Organic,3.91,2,1
2,3.4,0.05,Organic,4.88,4,1
